City,Total Count,Percentage of Listings
Houston,12703,1.49%
San Antonio,8078,0.95%
Louisville,5872,0.69%
Jacksonville,5675,0.67%
Austin,5297,0.62%
Miami,5250,0.62%
Orlando,5228,0.61%
Raleigh,5147,0.60%
Colorado Springs,4955,0.58%
Philadelphia,4756,0.56%
Columbia,4580,0.54%
Dallas,4434,0.52%
Marietta,4090,0.48%
Tucson,4084,0.48%
Phoenix,3978,0.47%
Las Vegas,3964,0.47%
Charlotte,3955,0.46%
Tampa,3854,0.45%
Columbus,3710,0.44%
Plano,3362,0.39%
Chicago,3354,0.39%
Indianapolis,3311,0.39%
El Paso,3058,0.36%
Sacramento,3025,0.36%
Arlington,2977,0.35%
Albuquerque,2920,0.34%
Puyallup,2843,0.33%
Chantilly,2838,0.33%
Fredericksburg,2813,0.33%
Victorville,2788,0.33%
Lakewood,2757,0.32%
Manassas,2755,0.32%
Carrollton,2737,0.32%
Fort Worth,2675,0.31%
Springfield,2569,0.30%
Concord,2487,0.29%
Tacoma,2484,0.29%
San Diego,2460,0.29%
Madison,2447,0.29%
Duluth,2442,0.29%
Cincinnati,2434,0.29%
Oklahoma City,2409,0.28%
Englewood,2388,0.28%
Richmond,2373,0.28%
Union City,2332,0.27%
Pensacola,2222,0.26%
Fayetteville,2206,0.26%
Tempe,2204,0.26%
Virginia Beach,2195,0.26%
West Palm Beach,2153,0.25%
Honolulu,2151,0.25%
Portland,2142,0.25%
Lafayette,2119,0.25%
Hollywood,2063,0.24%
Doral,2035,0.24%
Gainesville,2022,0.24%
Little Rock,2002,0.23%
San Jose,1968,0.23%
Scottsdale,1955,0.23%
Mesa,1951,0.23%
Sanford,1949,0.23%
Auburn,1928,0.23%
Baltimore,1920,0.23%
Burlington,1915,0.22%
Lexington,1907,0.22%
Nashville,1888,0.22%
Escondido,1882,0.22%
Chesapeake,1864,0.22%
Wilmington,1855,0.22%
Corpus Christi,1852,0.22%
Omaha,1830,0.21%
McKinney,1820,0.21%
Peoria,1802,0.21%
Sarasota,1795,0.21%
Aurora,1794,0.21%
El Cajon,1794,0.21%
Buford,1793,0.21%
Denver,1788,0.21%
Littleton,1769,0.21%
Greenville,1764,0.21%
Tulsa,1757,0.21%
Bedford,1757,0.21%
Killeen,1748,0.21%
Savannah,1740,0.20%
Milwaukee,1722,0.20%
Fairfield,1716,0.20%
Merriam,1713,0.20%
Bellevue,1706,0.20%
Alexandria,1684,0.20%
Schaumburg,1681,0.20%
Grapevine,1677,0.20%
Greensboro,1672,0.20%
Long Island City,1632,0.19%
Kansas City,1603,0.19%
Fremont,1601,0.19%
Longmont,1588,0.19%
Atlanta,1582,0.19%
Salt Lake City,1580,0.19%
Memphis,1572,0.18%
Knoxville,1570,0.18%
Costa Mesa,1564,0.18%
Sterling,1537,0.18%
Seattle,1525,0.18%
Franklin,1509,0.18%
Henderson,1508,0.18%
Bloomington,1459,0.17%
Morrow,1431,0.17%
Brooklyn,1398,0.16%
Salem,1392,0.16%
Birmingham,1347,0.16%
Clearwater,1343,0.16%
Rochester,1330,0.16%
Denton,1318,0.15%
Leesburg,1317,0.15%
Lawrenceville,1313,0.15%
Glendale,1303,0.15%
Augusta,1293,0.15%
Conway,1284,0.15%
Roswell,1279,0.15%
Roseville,1272,0.15%
Reno,1265,0.15%
Florence,1261,0.15%
Watertown,1249,0.15%
Boise,1248,0.15%
Fort Lauderdale,1247,0.15%
Stafford,1242,0.15%
Montclair,1232,0.14%
Boerne,1230,0.14%
Salisbury,1226,0.14%
Canton,1213,0.14%
Lancaster,1208,0.14%
Manchester,1208,0.14%
Fontana,1206,0.14%
Woodbridge,1194,0.14%
Fort Wayne,1189,0.14%
Cary,1186,0.14%
Norfolk,1183,0.14%
Lincoln,1181,0.14%
New Castle,1167,0.14%
Elmhurst,1163,0.14%
Spokane,1163,0.14%
Norwood,1161,0.14%
Portsmouth,1150,0.13%
Fairfax,1147,0.13%
Spring,1134,0.13%
Akron,1125,0.13%
Charleston,1098,0.13%
Doylestown,1096,0.13%
Newport News,1095,0.13%
Ocala,1085,0.13%
San Mateo,1083,0.13%
Pasadena,1081,0.13%
Milford,1073,0.13%
Naugatuck,1071,0.13%
Metairie,1065,0.12%
Pompano Beach,1061,0.12%
Amarillo,1052,0.12%
Medford,1052,0.12%
Addison,1048,0.12%
Midlothian,1045,0.12%
Centennial,1043,0.12%
Riverside,1040,0.12%
Alpharetta,1027,0.12%
Naperville,1018,0.12%
Bethlehem,1012,0.12%
Mt. Juliet,1011,0.12%
Lewisville,1008,0.12%
Clarksville,1005,0.12%
Miami Gardens,1005,0.12%
Davie,1005,0.12%
Tyler,1001,0.12%
Mobile,995,0.12%
St. Louis,994,0.12%
Torrance,992,0.12%
Everett,991,0.12%
Katy,988,0.12%
Hayward,984,0.12%
Bradenton,981,0.12%
Great Neck,981,0.12%
Lynnwood,975,0.11%
North Hollywood,973,0.11%
Murfreesboro,971,0.11%
Durham,959,0.11%
Richardson,957,0.11%
Vero Beach,957,0.11%
Daphne,957,0.11%
Pelham,951,0.11%
Decatur,951,0.11%
Delray Beach,949,0.11%
Conroe,947,0.11%
Frisco,943,0.11%
Grand Rapids,943,0.11%
Waukesha,942,0.11%
Tallahassee,941,0.11%
Newark,940,0.11%
Chattanooga,940,0.11%
Des Moines,934,0.11%
Dublin,928,0.11%
Macon,923,0.11%
Round Rock,922,0.11%
Bristol,913,0.11%
Hazelwood,909,0.11%
Kennesaw,901,0.11%
Jersey City,899,0.11%
Temecula,897,0.11%
Santa Ana,895,0.11%
Naples,895,0.11%
Anchorage,894,0.10%
Kernersville,889,0.10%
Allentown,888,0.10%
Irving,884,0.10%
Pueblo,883,0.10%
Downers Grove,881,0.10%
Georgetown,880,0.10%
Arlington Heights,878,0.10%
Waldorf,874,0.10%
Middletown,874,0.10%
Winnsboro,872,0.10%
Abilene,871,0.10%
Selma,869,0.10%
Sandy,867,0.10%
Frederick,866,0.10%
Albany,863,0.10%
Ontario,857,0.10%
Plainfield,857,0.10%
Wichita,855,0.10%
Fond du Lac,851,0.10%
Chandler,850,0.10%
Cerritos,835,0.10%
Shreveport,834,0.10%
Sioux Falls,830,0.10%
Monroe,827,0.10%
Olympia,822,0.10%
Fishers,821,0.10%
Bronx,815,0.10%
Orland Park,812,0.10%
Newnan,812,0.10%
Westmont,807,0.09%
Athens,803,0.09%
Libertyville,797,0.09%
Langhorne,797,0.09%
Huntsville,795,0.09%
Framingham,790,0.09%
Jackson,782,0.09%
Hickory,776,0.09%
Irvine,775,0.09%
Carlsbad,774,0.09%
Pleasanton,773,0.09%
Brandon,773,0.09%
Laurel,772,0.09%
Homestead,770,0.09%
Lawrence,770,0.09%
Golden,770,0.09%
Owings Mills,768,0.09%
Tinley Park,767,0.09%
Woburn,761,0.09%
Avondale,760,0.09%
Pittsburgh,759,0.09%
Antioch,755,0.09%
New Port Richey,751,0.09%
Highland Park,747,0.09%
Matteson,742,0.09%
Westminster,740,0.09%
Olive Branch,736,0.09%
Hillsboro,735,0.09%
Leavenworth,733,0.09%
Beaverton,730,0.09%
South Jordan,723,0.08%
Pikeville,721,0.08%
Milwaukie,717,0.08%
Norman,717,0.08%
Pembroke Pines,716,0.08%
Princeton,715,0.08%
Topeka,715,0.08%
Broken Arrow,714,0.08%
Countryside,712,0.08%
Glen Burnie,709,0.08%
Ardmore,707,0.08%
Los Angeles,705,0.08%
Webster,704,0.08%
Long Beach,702,0.08%
Modesto,701,0.08%
Temple Hills,700,0.08%
Cherry Hill,698,0.08%
Lima,696,0.08%
Yuba City,692,0.08%
Smyrna,692,0.08%
Valencia,688,0.08%
New Braunfels,683,0.08%
Des Plaines,680,0.08%
Odessa,678,0.08%
West Park,677,0.08%
South Easton,674,0.08%
Oak Lawn,674,0.08%
Mechanicsburg,670,0.08%
Fullerton,669,0.08%
Mesquite,667,0.08%
Bel Air,666,0.08%
Highlands Ranch,663,0.08%
Silver Spring,661,0.08%
Gaithersburg,661,0.08%
Lubbock,660,0.08%
Melbourne,660,0.08%
Lake Park,659,0.08%
Brooklyn Park,657,0.08%
Merrillville,656,0.08%
Nashua,656,0.08%
Harrisburg,654,0.08%
Renton,653,0.08%
Avenel,652,0.08%
O'Fallon,652,0.08%
Lee's Summit,650,0.08%
Loveland,649,0.08%
Montgomery,647,0.08%
Burbank,647,0.08%
Lansing,645,0.08%
Coconut Creek,644,0.08%
Brooklyn Center,642,0.08%
Hurst,640,0.08%
San Rafael,639,0.07%
Farmington,639,0.07%
St. Petersburg,630,0.07%
Lithia Springs,628,0.07%
Wichita Falls,627,0.07%
Beaumont,626,0.07%
Blair,623,0.07%
Mooresville,621,0.07%
Vacaville,617,0.07%
Greeley,617,0.07%
Olathe,615,0.07%
Norcross,615,0.07%
Daytona Beach,614,0.07%
Lakeland,613,0.07%
Kirkland,613,0.07%
St Louis,613,0.07%
Boardman,611,0.07%
Maitland,611,0.07%
Cleveland,610,0.07%
Bentonville,609,0.07%
Batavia,609,0.07%
Warner Robins,609,0.07%
Danvers,607,0.07%
West Chester,606,0.07%
Rockwall,603,0.07%
Rockford,602,0.07%
Jefferson City,600,0.07%
Snellville,600,0.07%
Anderson,599,0.07%
Highland,595,0.07%
Levittown,595,0.07%
Fresno,594,0.07%
Nicholasville,593,0.07%
Morristown,593,0.07%
Cullman,591,0.07%
Inver Grove Heights,590,0.07%
Vallejo,588,0.07%
Avon,588,0.07%
High Point,587,0.07%
Fort Smith,587,0.07%
San Marcos,585,0.07%
Shrewsbury,584,0.07%
Hanover,582,0.07%
Easton,580,0.07%
Golden Valley,580,0.07%
Westborough,575,0.07%
Vandalia,575,0.07%
Garland,573,0.07%
Pinellas Park,571,0.07%
Corona,569,0.07%
Flemington,569,0.07%
Johnson City,567,0.07%
Roselle,567,0.07%
Gladstone,564,0.07%
Alcoa,564,0.07%
Stone Mountain,564,0.07%
Hoover,561,0.07%
Kenner,560,0.07%
Freehold,560,0.07%
Buena Park,560,0.07%
Baton Rouge,560,0.07%
Crystal Lake,560,0.07%
Longview,558,0.07%
Anaheim,557,0.07%
Ramsey,557,0.07%
Fort Myers,556,0.07%
Dover,553,0.06%
Goldsboro,546,0.06%
Fairbanks,546,0.06%
Edmonds,545,0.06%
Florissant,544,0.06%
Cumming,543,0.06%
Bremerton,543,0.06%
Winter Park,539,0.06%
Gilbert,537,0.06%
Parker,536,0.06%
American Fork,535,0.06%
Clinton,534,0.06%
Warrenton,533,0.06%
Ansonia,533,0.06%
Tracy,531,0.06%
Jamaica,529,0.06%
Elkhart,528,0.06%
Annapolis,528,0.06%
Thousand Oaks,526,0.06%
Boulder,523,0.06%
North Richland Hills,522,0.06%
Fargo,521,0.06%
Midland,520,0.06%
Ft. Lauderdale,519,0.06%
McDonough,515,0.06%
National City,515,0.06%
Ankeny,515,0.06%
Gastonia,513,0.06%
White Plains,513,0.06%
Hamilton,512,0.06%
Gurnee,508,0.06%
Bastrop,508,0.06%
Bensenville,508,0.06%
Lumberton,507,0.06%
Westbrook,505,0.06%
Wappingers Falls,505,0.06%
Bellingham,502,0.06%
Hampton,500,0.06%
Winchester,500,0.06%
Hackettstown,499,0.06%
Westbury,499,0.06%
West Covina,495,0.06%
Temple,493,0.06%
Barrington,492,0.06%
Lebanon,491,0.06%
Santa Clara,490,0.06%
Seffner,490,0.06%
Pacoima,489,0.06%
Cathedral City,488,0.06%
Brooksville,488,0.06%
Elgin,486,0.06%
Surprise,486,0.06%
Waterbury,485,0.06%
Teterboro,484,0.06%
Montebello,484,0.06%
Fort Collins,481,0.06%
Ewing,480,0.06%
Panama City,480,0.06%
Carmel,478,0.06%
Van Nuys,478,0.06%
Lindon,478,0.06%
West Valley,475,0.06%
Gresham,474,0.06%
Ogden,473,0.06%
Minnetonka,472,0.06%
Winter Haven,472,0.06%
Lauderdale Lakes,468,0.05%
Covington,467,0.05%
Texarkana,466,0.05%
Livermore,466,0.05%
Tomball,464,0.05%
Clive,464,0.05%
Bellflower,463,0.05%
West Allis,463,0.05%
St. Augustine,462,0.05%
Alhambra,461,0.05%
Hoffman Estates,461,0.05%
Branford,460,0.05%
North Little Rock,458,0.05%
New Bern,458,0.05%
Punta Gorda,456,0.05%
Wall,456,0.05%
Amherst,455,0.05%
Hattiesburg,454,0.05%
Paramus,453,0.05%
Layton,452,0.05%
Staten Island,451,0.05%
Fort Walton Beach,450,0.05%
New York,450,0.05%
Fort Pierce,449,0.05%
Ventura,449,0.05%
Raynham,448,0.05%
Port Richey,448,0.05%
Shelbyville,447,0.05%
Chamblee,446,0.05%
Woods Cross,446,0.05%
Hasbrouck Heights,445,0.05%
Walnut Creek,445,0.05%
Spartanburg,445,0.05%
Patchogue,443,0.05%
Merced,443,0.05%
Defiance,442,0.05%
Vista,441,0.05%
Brookfield,440,0.05%
Murray,440,0.05%
Ft. Worth,439,0.05%
San Francisco,439,0.05%
Rome,439,0.05%
Cookeville,439,0.05%
Brentwood,438,0.05%
Apex,438,0.05%
Hialeah,437,0.05%
Coon Rapids,436,0.05%
Woodside,436,0.05%
Cedar Falls,436,0.05%
Vancouver,435,0.05%
Rockville,433,0.05%
Torrington,430,0.05%
Joplin,429,0.05%
Taylorville,428,0.05%
Ashland,427,0.05%
New Orleans,427,0.05%
Garden Grove,425,0.05%
Windsor,425,0.05%
Worthington,424,0.05%
Toledo,421,0.05%
Lawton,420,0.05%
Vienna,419,0.05%
Logan,418,0.05%
Beavercreek,417,0.05%
Jasper,416,0.05%
Newton,416,0.05%
Sherwood,413,0.05%
Norwalk,413,0.05%
Redmond,412,0.05%
Grove City,411,0.05%
Great Falls,411,0.05%
City of Industry,411,0.05%
Ephrata,411,0.05%
Stuart,411,0.05%
Deland,410,0.05%
Sterling Heights,410,0.05%
Missoula,409,0.05%
Noblesville,409,0.05%
Overland Park,408,0.05%
Brunswick,408,0.05%
Sunnyvale,408,0.05%
Redlands,407,0.05%
Evanston,404,0.05%
Kingman,404,0.05%
Limerick,403,0.05%
Evansville,403,0.05%
St. George,402,0.05%
Garden City,402,0.05%
Oconomowoc,400,0.05%
Waite Park,400,0.05%
Weatherford,400,0.05%
Falls Church,400,0.05%
Huntington Beach,400,0.05%
Stockton,398,0.05%
Buffalo,398,0.05%
Lilburn,397,0.05%
Hendersonville,396,0.05%
Summerville,393,0.05%
Ballwin,393,0.05%
Graham,393,0.05%
Eatontown,392,0.05%
Draper,392,0.05%
Myrtle Beach,391,0.05%
Bethesda,390,0.05%
Reading,390,0.05%
Clovis,390,0.05%
Eden Prairie,387,0.05%
Southgate,387,0.05%
Vernon,386,0.05%
Garner,386,0.05%
Post Falls,385,0.05%
Hudson,385,0.05%
Carson,384,0.05%
North Charleston,382,0.04%
Westfield,378,0.04%
Ellicott City,378,0.04%
Blue Springs,378,0.04%
Mendon,377,0.04%
Kingston,377,0.04%
Victor,377,0.04%
Rahway,376,0.04%
Hemet,375,0.04%
Wesley Chapel,374,0.04%
Thornton,372,0.04%
League City,371,0.04%
Meridian,370,0.04%
Kenosha,370,0.04%
Tuscaloosa,369,0.04%
Staunton,367,0.04%
Macomb,367,0.04%
Rogers,367,0.04%
Oakland,366,0.04%
Hooksett,366,0.04%
Santa Monica,366,0.04%
Martinez,365,0.04%
Smithfield,364,0.04%
Winston Salem,364,0.04%
Union,364,0.04%
Napa,363,0.04%
Harrisonville,363,0.04%
Nokomis,363,0.04%
Plantation,363,0.04%
Waco,362,0.04%
Taylor,361,0.04%
Nanuet,361,0.04%
Dothan,360,0.04%
Bowie,360,0.04%
Burleson,359,0.04%
Billings,358,0.04%
Friendswood,357,0.04%
Quakertown,355,0.04%
Shoreline,354,0.04%
Harlingen,353,0.04%
Racine,353,0.04%
Suffolk,353,0.04%
Warrensburg,352,0.04%
Danville,352,0.04%
Conyers,352,0.04%
Davis,351,0.04%
Slidell,351,0.04%
AUSTIN,349,0.04%
Burien,349,0.04%
Palo Alto,347,0.04%
Winston-Salem,347,0.04%
Virgina Beach,347,0.04%
Delaware,347,0.04%
Cape Girardeau,346,0.04%
Sugar Land,346,0.04%
Crossville,346,0.04%
Clermont,346,0.04%
D'Iberville,345,0.04%
Boone,344,0.04%
Idaho Falls,344,0.04%
Chester,344,0.04%
Downingtown,344,0.04%
Latham,343,0.04%
Schenectady,343,0.04%
Wake Forest,341,0.04%
London,341,0.04%
Spokane Valley,340,0.04%
Santa Rosa,340,0.04%
Sherman Oaks,338,0.04%
Grand Prairie,338,0.04%
Trevose,336,0.04%
Belleville,336,0.04%
Marlow Heights,336,0.04%
Souderton,336,0.04%
Culpeper,335,0.04%
Humble,335,0.04%
Bonham,335,0.04%
Gadsden,335,0.04%
Charlottesville,334,0.04%
Elizabeth City,334,0.04%
Plymouth,334,0.04%
Sheboygan,332,0.04%
Wilsonville,332,0.04%
Huntersville,331,0.04%
Miamisburg,330,0.04%
Edinburg,330,0.04%
Daytona,330,0.04%
Asheville,329,0.04%
Bountiful,329,0.04%
Mount Laurel,329,0.04%
Live Oak,328,0.04%
Anniston,328,0.04%
North Attleboro,328,0.04%
St. Peters,328,0.04%
Rosenberg,327,0.04%
Midwest City,327,0.04%
North Aurora,327,0.04%
Bloomfield,327,0.04%
Hanford,326,0.04%
Warren,326,0.04%
Marysville,325,0.04%
Denville,325,0.04%
Danbury,325,0.04%
Orange,324,0.04%
Newport,324,0.04%
Mission Viejo,323,0.04%
Carrolton,323,0.04%
North Miami,322,0.04%
Abington,322,0.04%
Stamford,322,0.04%
Colma,322,0.04%
West Springfield,322,0.04%
Greenwood,321,0.04%
Gower,321,0.04%
North Salt Lake,321,0.04%
Glendora,321,0.04%
Cornelius,320,0.04%
Clinton Township,319,0.04%
Sumter,318,0.04%
Tustin,318,0.04%
Cypress,317,0.04%
Palmyra,317,0.04%
Forest,316,0.04%
Southern Pines,316,0.04%
Downey,315,0.04%
Suitland,314,0.04%
Sullivan,313,0.04%
Lodi,312,0.04%
Jonesboro,311,0.04%
St. James,311,0.04%
Fallston,311,0.04%
Manhattan,310,0.04%
Moreno Valley,310,0.04%
Massillon,310,0.04%
Nampa,310,0.04%
Battle Creek,310,0.04%
Glendale Heights,308,0.04%
Cockeysville,307,0.04%
Bossier City,307,0.04%
Somerville,307,0.04%
Kissimmee,307,0.04%
Edison,305,0.04%
Elk River,305,0.04%
Collinsville,305,0.04%
Creve Coeur,303,0.04%
Southfield,302,0.04%
Cranston,301,0.04%
Harrisonburg,301,0.04%
Fife,299,0.04%
Blackwood,298,0.03%
Berlin,298,0.03%
Bowling Green,298,0.03%
Placentia,297,0.03%
South River,296,0.03%
Monterey Park,295,0.03%
Fruitland Park,295,0.03%
Lisle,295,0.03%
Freeport,295,0.03%
Amityville,294,0.03%
Canandaigua,293,0.03%
Valdosta,292,0.03%
Washington,291,0.03%
Lynn,290,0.03%
Prattville,290,0.03%
Culver City,290,0.03%
Dearborn,289,0.03%
Michigan City,288,0.03%
Lugoff,288,0.03%
Chicopee,287,0.03%
Oswego,286,0.03%
North Olmsted,286,0.03%
South Gate,285,0.03%
Midway City,285,0.03%
West Bend,285,0.03%
San Leandro,285,0.03%
West Bridgewater,285,0.03%
Edgewater Park,284,0.03%
Pontiac,284,0.03%
Cambridge,284,0.03%
Moon Township,284,0.03%
Pharr,284,0.03%
Mountain View,284,0.03%
Thomasville,283,0.03%
North Huntingdon,282,0.03%
Fort Payne,281,0.03%
Simi Valley,281,0.03%
Van Buren,281,0.03%
Eugene,280,0.03%
Ottawa,280,0.03%
North Palm Beach,280,0.03%
Mount Airy,280,0.03%
Cedar Park,278,0.03%
Coral Springs,278,0.03%
Toms River,278,0.03%
Santa Fe,278,0.03%
Missouri Valley,276,0.03%
Manahawkin,276,0.03%
Lombard,276,0.03%
Villa Park,275,0.03%
VIRGINIA BEACH,275,0.03%
Gulfport,274,0.03%
Wayne,274,0.03%
Heber Springs,273,0.03%
Morehead City,273,0.03%
Bayside,273,0.03%
Melrose Park,272,0.03%
Cocoa,272,0.03%
Parma,270,0.03%
Sioux City,270,0.03%
Longwood,270,0.03%
Pittsburg,270,0.03%
Granite City,269,0.03%
Tifton,268,0.03%
York,268,0.03%
East Haven,268,0.03%
Lake City,268,0.03%
Derby,268,0.03%
Sherman,267,0.03%
Tigard,267,0.03%
Homosassa,267,0.03%
Newburgh,267,0.03%
East Windsor,266,0.03%
Cartersville,266,0.03%
Fox Lake,265,0.03%
Saint James,264,0.03%
Saint Louis Park,264,0.03%
Lakeville,264,0.03%
Harrison,264,0.03%
Rock Hill,264,0.03%
Glenview,263,0.03%
Enterprise,263,0.03%
Davenport,263,0.03%
Marion,263,0.03%
Kingsport,263,0.03%
Greenfield,263,0.03%
Dunn,262,0.03%
Hillsdale,261,0.03%
Millington,261,0.03%
Riverdale,261,0.03%
Frankfort,261,0.03%
Chehalis,261,0.03%
Landover,260,0.03%
Oakfield,260,0.03%
Bartow,259,0.03%
Branson,259,0.03%
Mechanicsville,259,0.03%
Barre,259,0.03%
Weslaco,259,0.03%
Seekonk,258,0.03%
New Rochelle,258,0.03%
Bakersfield,257,0.03%
Folsom,257,0.03%
Monticello,257,0.03%
Stonewall,256,0.03%
Scranton,256,0.03%
Brattleboro,256,0.03%
Ottumwa,256,0.03%
Montgomeryville,255,0.03%
Somerset,255,0.03%
Hodgkins,255,0.03%
Shelby,255,0.03%
Palatine,255,0.03%
Griffin,254,0.03%
Federal Way,254,0.03%
Kahului,253,0.03%
Lees Summit,252,0.03%
Glen Mills,252,0.03%
Mchenry,252,0.03%
Fredricksburg,251,0.03%
North Brunswick,251,0.03%
Maumee,251,0.03%
West Caldwell,251,0.03%
